category,technique_name,description
creative,Deslocamento no Tempo,"Explore soluções em diferentes períodos para revelar restrições e oportunidades, perguntando 'Como isso funcionaria no passado?' 'E daqui a 100 anos?' 'Restrições de outra época?' e 'Que soluções baseadas no tempo se aplicam?'"
creative,Mapeamento de Metaforas,"Use metáforas estendidas como ferramentas de pensamento para explorar problemas sob novos ângulos - transforma desafios abstratos em narrativas tangíveis perguntando 'Este problema é como qual metáfora?', estendendo a metáfora e mapeando elementos para descobrir insights"
creative,Polinizacao Cruzada,"Transfira soluções de setores ou domínios completamente diferentes para gerar inovações disruptivas, perguntando como outro setor resolveria isso, que padrões funcionam em outro campo e como adaptar soluções de outro domínio"
creative,Mistura de Conceitos,"Combine dois ou mais conceitos existentes para criar categorias inteiramente novas - vai além da simples combinação rumo à inovação genuína, perguntando o que surge quando os conceitos se fundem, que nova categoria é criada e como a mistura transcende as ideias originais"
creative,Brainstorming Reverso,"Gere problemas em vez de soluções para identificar oportunidades ocultas e caminhos inesperados, perguntando 'O que poderia dar errado?' 'Como poderíamos fazer isso falhar?' e 'Que problemas poderíamos criar?' para revelar insights de solução"
creative,Exploracao Sensorial,"Engaje os cinco sentidos para descobrir espaços de solução multidimensionais além do pensamento puramente analítico, perguntando como as ideias se sentem, cheiram, têm gosto ou soam, e como diferentes sentidos interagem com o espaço do problema"
deep,Cinco Porques,"Aprofunde-se nas camadas de causa para descobrir as causas-raiz - essencial para resolver problemas na origem em vez dos sintomas, perguntando 'Por que isso aconteceu?' repetidamente até chegar aos motivadores fundamentais e às causas finais"
deep,Analise Morfologica,"Explore sistematicamente todas as combinações possíveis de parâmetros para sistemas complexos que exigem um mapeamento abrangente de soluções - identifique os parâmetros-chave, liste as opções de cada um, teste diferentes combinações e identifique padrões emergentes"
deep,Tecnica de Provocacao,"Use afirmações deliberadamente provocativas para extrair ideias úteis de pontos de partida aparentemente absurdos - catalisa o pensamento disruptivo perguntando 'E se afirmação provocativa?' 'Como isso poderia ser útil?' 'Que ideia isso dispara?' e 'Extraia o princípio'"
deep,Reversao de Suposicoes,"Questione e inverta as suposições centrais para reconstruir a partir de novas bases - essencial para mudanças de paradigma, perguntando 'Que suposições estamos fazendo?' 'E se o oposto fosse verdade?' 'Questione cada suposição' e 'Reconstrua a partir de novas suposições'"
deep,Tempestade de Perguntas,"Gere perguntas antes de buscar respostas para definir bem o espaço do problema - garante que estamos resolvendo o problema certo, fazendo apenas perguntas, sem respostas ainda, focando no que não sabemos e identificando o que deveríamos estar perguntando"
deep,Mapeamento de Restricoes,"Identifique e visualize todas as restrições para encontrar caminhos promissores ao redor ou através das limitações - pergunte que restrições existem, quais são reais e quais imaginárias, e como contornar ou eliminar barreiras para o espaço da solução"
deep,Analise de Falhas,"Estude fracassos bem-sucedidos para extrair insights valiosos e evitar armadilhas comuns - aprenda com o que não funcionou perguntando o que deu errado, por que falhou, que lições surgiram e como aplicar a sabedoria do fracasso ao desafio atual"
deep,Pensamento Emergente,"Permita que as soluções surjam de forma orgânica sem forçar uma progressão linear - abraça a complexidade e o desenvolvimento natural, perguntando que padrões emergem, o que quer acontecer naturalmente e o que está tentando emergir do sistema"
introspective_delight,Conferencia da Crianca Interior,"Canalize a curiosidade e o encantamento puros da infância para reacender a exploração lúdica - pergunte o que a sua versão de 7 anos perguntaria, use o questionamento 'por que por que por que', torne tudo divertido de novo e proíba o pensamento entediante para acessar perguntas inocentes que cortam as complicações adultas"
introspective_delight,Mineracao do Trabalho de Sombra,"Explore o que você está evitando ou resistindo ativamente para descobrir insights ocultos - examine bloqueios inconscientes e padrões de resistência perguntando o que você está evitando, onde está a resistência, o que te assusta, e minere as sombras em busca de sabedoria enterrada"
introspective_delight,Arqueologia de Valores,"Escave os valores pessoais profundos que orientam as decisões para esclarecer as prioridades autênticas - cave até as motivações de fundação perguntando o que realmente importa, por que você se importa, o que é inegociável e quais valores centrais guiam suas escolhas"
introspective_delight,Entrevista com o Eu Futuro,"Busque sabedoria do seu eu futuro mais sábio para ganhar perspectiva de longo prazo - obtenha automentoria temporal perguntando o que o seu eu de 80 anos diria à versão mais jovem, como a sabedoria futura se manifesta e o que a perspectiva de longo prazo revela"
introspective_delight,Dialogo com a Sabedoria do Corpo,"Deixe as sensações físicas e a intuição guiarem a ideacao - acesse a inteligência somática frequentemente ignorada pelas abordagens mentais perguntando o que seu corpo diz, onde você sente isso, confiando na tensão e seguindo as pistas físicas para uma sabedoria incorporada"
introspective_delight,Concessao de Permissao,"Conceda permissão explícita para pensar o impensável e romper as barreiras criativas autoimpostas - dê a si mesmo permissão para explorar, tentar, experimentar e se libertar das limitações que restringem a expressão criativa autêntica"
structured,Metodo SCAMPER,"Criatividade sistemática por meio de sete lentes para melhoria metódica de produto e inovação - Substituir (o que você poderia substituir), Combinar (o que você poderia combinar), Adaptar (como você poderia adaptar), Modificar (o que você poderia modificar), Pôr em outros usos, Eliminar, Reverter"
structured,Seis Chapeus do Pensamento,"Explore problemas por seis perspectivas distintas sem conflito - Chapéu Branco (fatos), Chapéu Vermelho (emoções), Chapéu Amarelo (benefícios), Chapéu Preto (riscos), Chapéu Verde (criatividade), Chapéu Azul (processo) para garantir uma análise abrangente sob todos os ângulos"
structured,Mapa Mental,"Ramifique visualmente as ideias a partir de um conceito central para descobrir conexões e expandir o pensamento - ideal para organizar pensamentos complexos e enxergar o panorama geral, colocando a ideia principal no centro, ramificando conceitos e identificando sub-ramificações"
structured,Restricoes de Recursos,"Gere soluções inovadoras impondo limitações extremas - força prioridades essenciais e eficiência criativa sob pressão, perguntando o que aconteceria se você tivesse apenas um valor simbólico, nenhuma tecnologia, uma hora para resolver ou apenas recursos mínimos"
structured,Mapeamento de Arvore de Decisao,"Mapeie todos os caminhos e desfechos possíveis de decisão para revelar oportunidades e riscos ocultos - visualiza arquiteturas de escolha complexas identificando os caminhos possíveis, os pontos de decisão e para onde cada escolha leva"
structured,Matriz de Solucoes,"Crie uma grade sistemática de variáveis do problema e abordagens de solução para encontrar combinações ótimas e descobrir lacunas - identifique as variáveis-chave, as abordagens de solução, teste combinações e identifique os pares mais eficazes"
structured,Transferencia de Atributos,"Tome emprestados atributos de soluções bem-sucedidas em domínios não relacionados para aprimorar a abordagem - adapta sistematicamente as características vencedoras perguntando que atributos fazem outra solução funcionar, como transferir esses atributos e como eles ficariam aqui"
theatrical,Talk Show da Viagem no Tempo,"Entreviste suas versões do passado/presente/futuro em busca de sabedoria temporal - método lúdico para ganhar perspectiva ao longo das diferentes fases da vida, entrevistando o eu do passado, perguntando o que o eu do futuro diria e explorando as perspectivas de diferentes linhas do tempo"
theatrical,Antropologo Alienigena,"Examine problemas familiares com olhos completamente estrangeiros - revela suposições ocultas ao adotar a perspectiva perplexa de um forasteiro, tornando-se um observador alienígena, perguntando o que parece estranho e obtendo insights de uma perspectiva externa"
theatrical,Laboratorio de Fusao de Sonhos,"Comece com soluções de fantasia impossíveis e depois faça engenharia reversa de passos práticos - torna o pensamento ambicioso acionável por meio do design ao contrário, sonhando soluções impossíveis, retrocedendo até a realidade e identificando os passos de ponte"
theatrical,Orquestra das Emocoes,"Deixe diferentes emoções conduzirem sessões de brainstorming separadas e depois harmonize-as - usa a inteligência emocional para uma perspectiva abrangente, explorando perspectivas raivosas, abordagens alegres, considerações temerosas, soluções esperançosas e, por fim, harmonizando todas as vozes"
theatrical,Cafe do Universo Paralelo,"Explore soluções sob regras de realidades alternativas - rompe o pensamento convencional alterando as suposições fundamentais sobre como as coisas funcionam, explorando universos com física diferente, normas sociais alternativas, eventos históricos modificados e variações nas regras da realidade"
theatrical,Jornada de Persona,"Incorpore diferentes arquétipos ou personas para acessar sabedoria diversa por meio da exploração de personagens - torne-se o arquétipo, pergunte como a persona resolveria isso e explore o que o personagem enxerga que o pensamento comum não percebe"
wild,Engenharia do Caos,"Quebre coisas deliberadamente para descobrir soluções robustas - constrói antifragilidade ao testar ideias sob estresse contra os piores cenários, perguntando o que aconteceria se tudo desse errado, quebrando de propósito, como falha de forma controlada e construindo a partir dos escombros"
wild,Ideias de Jardinagem Guerrilha,"Plante soluções inesperadas em lugares improváveis - usa a surpresa e o posicionamento não convencional para inovação furtiva, perguntando qual é o lugar menos esperado, plantando ideias em segredo, cultivando soluções no subterrâneo e implementando com surpresa"
wild,Brainstorm do Codigo Pirata,"Pegue o que funciona de qualquer lugar e remixe sem pedir permissão - incentiva a quebra de regras, a prototipagem rápida e o pensamento rebelde, perguntando o que piratas roubariam, remixando sem pedir, pegando o melhor e saindo correndo, sem precisar de permissão"
wild,Planejamento de Apocalipse Zumbi,"Projete soluções para cenários extremos de sobrevivência - elimina tudo, exceto as funções essenciais, para encontrar o valor central, perguntando o que acontece quando a sociedade entra em colapso, o que funciona no básico, construindo do nada e pensando em modo de sobrevivência"
wild,Reconto da Historia Embriagada,"Explique ideias complexas com simplicidade desinibida - remove as barreiras do excesso de análise para encontrar a verdade crua por meio de uma expressão simplificada, explicando como se estivesse alterado, sem filtro, compartilhando pensamentos crus e simplificando até o absurdo"
wild,Anti-Solucao,"Gere formas de tornar o problema pior ou mais interessante - revela suposições ocultas por meio da criatividade destrutiva, perguntando como sabotar isso, o que o faria falhar espetacularmente e como criar mais problemas para encontrar insights de solução"
wild,Superposicao Quantica,"Mantenha múltiplas soluções contraditórias simultaneamente até que a melhor emerja por observação e teste - explora como todas as soluções poderiam ser verdadeiras ao mesmo tempo, como as contradições coexistem e o que acontece quando os desfechos são observados"
wild,Forcas Elementares,"Imagine soluções sendo esculpidas por elementos naturais para acessar energias criativas primais - explore como a terra esculpiria isso, o que o fogo forjaria, como a água flui por isso e o que o ar revela para acessar a sabedoria elemental"
biomimetic,Solucoes da Natureza,"Estude como a natureza resolve problemas semelhantes e adapte estratégias biológicas ao desafio - pergunte como a natureza resolveria isso, que ecossistemas oferecem paralelos e que estratégias biológicas se aplicam para acessar bilhões de anos de sabedoria evolutiva"
biomimetic,Pensamento de Ecossistema,"Analise o problema como um ecossistema para identificar relações simbióticas, sucessão natural e princípios ecológicos - explore as relações simbióticas, a aplicação da sucessão natural e os princípios ecológicos para o pensamento sistêmico"
biomimetic,Pressao Evolutiva,"Aplique princípios evolutivos para melhorar gradualmente as soluções por meio da pressão seletiva e da adaptação - pergunte como a evolução otimizaria isso, que pressões seletivas se aplicam e como isso se adapta ao longo do tempo para aproveitar a sabedoria da seleção natural"
quantum,Efeito do Observador,"Reconheça como observar e medir as soluções altera seu comportamento - usa princípios quânticos para inovação perguntando como a observação muda isso, que efeitos de medição importam e como usar o efeito do observador de forma vantajosa"
quantum,Pensamento de Emaranhamento,"Explore como diferentes elementos da solução podem estar conectados independentemente da distância - revela relações ocultas perguntando que elementos estão emaranhados, como partes distantes afetam umas às outras e que conexões ocultas existem entre os componentes da solução"
quantum,Colapso da Superposicao,"Mantenha múltiplas soluções potenciais simultaneamente até que as restrições forcem um único desfecho ótimo - aproveita a teoria da decisão quântica perguntando o que aconteceria se todas as opções fossem possíveis, que restrições forçam o colapso e qual solução emerge quando observada"
cultural,Sabedoria Indigena,"Recorra a sistemas de conhecimento tradicional e abordagens indígenas negligenciadas pelo pensamento moderno - pergunte como culturas específicas abordariam isso, que conhecimento tradicional se aplica e que sabedoria ancestral nos guia para acessar métodos de resolução de problemas frequentemente ignorados"
cultural,Cozinha de Fusao,"Misture abordagens e perspectivas culturais como na cozinha de fusão - cria inovação por meio da polinização cruzada cultural, perguntando o que acontece ao misturar duas culturas diferentes, que híbridos culturais emergem e o que a fusão cria"
cultural,Inovacao de Rituais,"Aplique princípios de design de rituais para criar experiências e soluções transformadoras - usa insights antropológicos para o design centrado no ser humano, perguntando que ritual transformaria isso, como torná-lo cerimonial e que transformação isso exige"
cultural,Estruturas Miticas,"Use mitos e histórias arquetípicas como estruturas para entender e resolver problemas - acessa o inconsciente coletivo perguntando que mito tem paralelo com isso, que arquétipos estão envolvidos e como a estrutura mítica informa a solução"
